dia	mes	agno	personaje	texto
1	1	2021	1	1 de enero de 1914. Nació Manuela Garín Pinillos, una de las pioneras de la matemática mexicana. Sus modelos matemáticos ayudaron a explicar el campo magnético de la Tierra.
2	1	2021	2	2 de enero de 1839. Louis Daguerre intentó hacer la primera foto del espacio. Para hacerla utilizó un daguerrotipo y un telescopio, pero no tuvo éxito (la foto salió borrosa).
3	1	2021	3	3 de enero de 1871. Henry Bradley patentó la primera margarina. Su receta estaba hecha principalmente con aceite de algodón y grasa animal.
4	1	2021	4	4 de enero de 1963. Nació la neurocientífica May-Britt Moser. Recibió un Premio Nobel por su investigación sobre las células de red situadas en el cerebro.
5	1	2021	5	5 de enero de 1895. Nació la microbióloga Rebecca Craighill Lancefield. Inventó un nuevo método para clasificar las bacterias del grupo Streptococcus.
6	1	2021	6	6 de enero de 1838. Samuel Morse y Alfred Vail utilizaron el telégrafo en público por primera vez. Este invento se convirtió en uno de los sistemas de comunicación más populares durante décadas.
7	1	2021	7	7 de enero de 1992. La empresa AT&T presentó el videófono. Fue el primer teléfono con pantalla de vídeo.
8	1	2021	8	8 de enero de 1988. La Base Antártica Española Juan Carlos I quedó inaugurada. Esta base científica está gestionada por el CSIC y se localiza en la isla Livingston de la Antártida.
9	1	2021	9	9 de enero de 1923. El inventor Juan de la Cierva utilizó con éxito el autogiro. Esta aeronave es una mezcla de avión y helicóptero.
10	1	2021	10	10 de enero de 1860. El metro de Londres quedó inaugurado. Este metro es el sistema de transporte público bajo tierra más antiguo del mundo.
11	1	2021	11	11 de enero de 1907. Nació la inmunóloga Mary Shaw Shorb. Mary desarrolló una técnica para analizar la vitamina B12. Con ello contribuyó a combatir la anemia perniciosa.
12	1	2021	12	12 de enero de 1925. Nace el veterinario Miguel Cordero del Campillo. Fue una autoridad mundial en el campo de la parasitología. Tuvo un papel clave en el nacimiento de la Universidad de León.
13	1	2021	13	13 de enero de 1927. Nació el biólogo Sydney Brenner. Recibió un Premio Nobel por sus investigaciones sobre la regulación genética del desarrollo y la muerte celular.
14	1	2021	14	14 de enero de 1973. Elvis Presley realizó el primer concierto transmitido por vía satélite. Se hizo desde el Centro Internacional de Honolulu y se pudo ver en 40 países.
15	1	2021	15	15 de enero de 1826. Nació la asistente científica Marie Pasteur. Trabajó como asistente y colaboradora de Louis Pasteur, con quien estaba casada. Su apoyo fue esencial en los descubrimientos del investigador.
16	1	2021	16	16 de enero de 1932. Nació la zoóloga Dian Fossey. Fue una observadora paciente del comportamiento de los gorilas y fundó el Centro de Investigación de Karisoke (Ruanda). Este centro es la mayor esperanza para la conservación de los gorilas de montaña.
17	1	2021	17	17 de enero de 1897. Nació la física Caroline Emilie Bleeker. Sus estudios más conocidos incluyen el diseño y la fabricación de instrumentos ópticos.
18	1	2021	18	18 de enero de 1969. Un equipo de astronomía de la Universidad de Arizona detectó las señales ópticas de un púlsar por primera vez.
19	1	2021	19	19 de enero de 1915. Georges Claude patentó el primer tubo de neón. Este invento se popularizó con rapidez gracias a su uso en carteles publicitarios.
20	1	2021	20	20 de enero de 1944. Se fundó la Estación de Biología Experimental de Cogullada (conocida actualmente como Estación Experimental de Aula Dei). El objetivo de este instituto del CSIC es mejorar la competitividad y sostenibilidad del sector agrícola.
21	1	2021	21	21 de enero de 1865. Nació Sophia Jex-Blake, quien es conocida como una de las Siete de Edimburgo. Dirigió la campaña para asegurar el acceso de las mujeres a la educación universitaria y luego estudió Medicina.
22	1	2021	22	22 de enero de 1909. Nació el farmacéutico y biólogo Faustino Cordón. Sus investigaciones estuvieron centradas en el campo de la evolución. En 1979 creó la Fundación para la Investigación sobre la Biología Evolucionista.
23	1	2021	23	23 de enero de 1921. Nació la arqueóloga Marija Gimbutas. Propuso la hipótesis de los kurganes. Esta hipótesis combinó la arqueología y la lingüística para ubicar la sede originaria de los pueblos que hablaban el idioma protoindoeuropeo.
24	1	2021	24	24 de enero de 1809. Nació el naturalista Mariano de la Paz Graells. Describió nuevas especies de insectos, entre las que destaca la magnífica mariposa isabelina (Graellsia isabelae).
25	1	2021	25	25 de enero de 1235. Posible fecha de nacimiento de Ramón Llul. Su escrito titulado “El árbol de la ciencia” es el primer tratado científico sobre naturaleza en España.
26	1	2021	26	26 de enero de 1941. Nació la bioquímica Joan Elaine Argetsinger Steitz. Ganó fama internacional por sus descubrimientos sobre el ARN.
27	1	2021	27	27 de enero de 1876. El ingeniero eléctrico Elisha Gray solicitó la patente del telégrafo musical. Fue uno de los primeros instrumentos musicales eléctricos.
28	1	2021	28	28 de enero de 2013. La supercomputadora IBM Sequoia batió un récord de cálculo al modelar un motor para un jet experimental. Para ello contó con la ayuda de más de un millón de núcleos de procesamiento.
29	1	2021	29	29 de enero de 1947. Nació la bióloga y médica Linda Brown Buck. Ganó un premio Nobel por su descubrimiento de los receptores del olfato y la organización del sistema olfativo.
30	1	2021	30	30 de enero de 1975. El escultor Ernő Rubik solicitó la patente del cubo mágico. Este invento se conoce actualmente como el cubo de Rubik.
31	1	2021	31	31 de enero de 1925. Nació Manuel Jalón. Realizó numerosas patentes, incluyendo instrumentos tan conocidos como la fregona o la jeringuilla hipodérmica desechable.
1	2	2021	32	1 de febrero de 1949. Entró en funcionamiento el telescopio Hale, el más grande del mundo en ese momento (200 pulgadas).
2	2	2021	33	2 de febrero de 1939. Nació la biotecnóloga Mary-Dell Chilton. Fue una de las fundadoras de la biotecnología moderna en plantas.
3	2	2021	34	3 de febrero de 1900. Nació Juana Álvarez-Prida y Vega. Fue una de las primeras químicas españolas. En 1990 recibió el primer Premio a la Mujer Progresista en la Ciencia.
4	2	2021	35	4 de febrero de 1896. Thaddeus Cahill solicitó la patente del telarmonio, el primer instrumento musical enteramente electrónico y polifónico. El primer prototipo pesaba 200 toneladas y tenía una longitud de 18 metros de largo.
