dia	mes	personaje	texto
1	1	1	1914/1/1. Manuela Garín Pinillos jaio zen, Mexikoko matematikaren aitzindarietako bat. Bere eredu matematikoak lagungarri izan ziren Lurraren eremu magnetikoa azaltzeko.
2	1	2	1839/1/2. Louis Daguerre espazioaren lehen argazkia egiten ahalegindu zen. Dagerrotipo bat eta teleskopio bat erabili zituen argazkia egiteko, baina ez zuen arrakastarik izan, argazkia lausotuta atera zelako.
3	1	3	1871/1/3. Henry Bradleyek lehen margarina patentatu zuen. Nagusiki kotoi-olioa eta animalia-koipea erabili zuen errezeta egiteko.
4	1	4	1963/1/4. May-Britt Moser neurozientifikoa jaio zen. Nobel Sari bat jaso zuen, garunean kokatutako sare-zelulei buruz egin zuen ikerketarengatik.
5	1	5	1895/1/5. Rebecca Craighill Lancefield mikrobiologoa jaio zen. Streptococcus taldeko bakterioak sailkatzeko metodo berri bat asmatu zuen.
6	1	6	1838/1/6. Samuel Morsek eta Alfred Vailek telegrafoa jendaurrean erabili zuten, lehen aldiz. Hamarkadatan, asmakizun hori komunikazio-sistema ezagunenetako bat izan zen.
7	1	7	1992/1/7. AT&T enpresak bideofonoa aurkeztu zuen. Bideo-pantaila zuen lehen telefonoa izan zen.
8	1	8	1988/1/8. Juan Carlos I Espainiako Base Antartikoa inauguratu zen. CSICek kudeatzen du base zientifiko hori, Antartikako Livingston uhartean.
9	1	9	1923/1/9. Juan de la Cierva asmatzaileak autogiroa arrakastaz erabili zuen. Aireontzi hori, hegazkinaren eta helikopteroaren arteko nahasketa bat da.
10	1	10	1860/1/10. Londresko metroa inauguratu zen. Metro hori, lurrazpiko garraio publikoko sistema zaharrena da munduan.
11	1	11	1907/1/11. Mary Shaw Shorb immunologoa jaio zen. Maryk B12 bitamina aztertzeko teknika bat garatu zuen. Horrekin, anemia kaltegarriari aurre egiten lagundu zuen.
12	1	12	1925/1/12. Miguel Cordero del Campillo albaitaria jaio zen. Mundu-mailako autoritate bat izan zen parasitologiaren alorrean. Funtsezko zeregin bat izan zuen Leongo Unibertsitatearen sorreran.
13	1	13	1927/1/13. Sydney Brenner biologoa jaio zen. Nobel Sari bat jaso zuen garapenaren erregulazio genetikoari eta zelulen heriotzari buruz egin zituen ikerketengatik.
14	1	14	1973/1/14. Elvis Presleyk satelite bidez transmititutako lehen kontzertua eman zuen. Honoluluko Nazioarteko Zentrotik egin zen, eta 40 herrialdetan ikusteko aukera izan zuten.
15	1	15	1826/1/15. Marie Pasteur laguntzaile zientifikoa jaio zen. Louis Pasteurren emaztea zen, eta haren laguntzaile eta kolaboratzaile gisa jardun zuen. Haren laguntza funtsezkoa izan zen ikertzailearen aurkikuntzetan.
16	1	16	1932/1/16. Dian Fossey zoologoa jaio zen. Pazientzia handiz behatu zuen gorilen portaera, eta, Ruandan, Karisokeko Ikerketa Zentroa fundatu zuen. Zentro hori, mendiko gorilen kontserbaziorako itxaropen nagusia da.
17	1	17	1897/1/17. Caroline Emilie Bleeker fisikaria jaio zen. Besteak beste, tresna optikoen diseinuari eta fabrikazioari buruzko azterlan ezagunak egin zituen.
18	1	18	1969/1/18. Arizonako Unibertsitateko astronomia-talde batek pulsar baten seinale optikoak detektatu zituen, lehen aldiz.
19	1	19	1915/1/19. Georges Claudek neoizko lehen hodia patentatu zuen. Asmakizun hori laster egin zen ezagun, publizitate-karteletan eman zitzaion erabilerari esker.
20	1	20	1944/1/20. Cogulladako Biologia Esperimentaleko Estazioa sortu zen; gaur egun, Aula Deiko Estazio Esperimentala deitzen zaio. CSICeko institutu horren helburua da nekazaritza-sektorearen lehiakortasuna eta jasangarritasuna hobetzea.
21	1	21	1865/1/21. Sophia Jex-Blake jaio zen, "Edinburgoko zazpietako" bat, hain zuzen. Emakumeak unibertsitate-hezkuntzan sar zitezela ziurtatzeko kanpaina zuzendu zuen, eta ondoren Medikuntza ikasi zuen.
22	1	22	1909/1/22. Faustino Cordón farmazialari eta biologoa jaio zen. Eboluzioaren eremuan ardaztutako ikerketak egin zituen. 1979an, Biologia Eboluzionistari buruzko Ikerketarako Fundazioa sortu zuen.
23	1	23	1921/1/23. Marija Gimbutas arkeologoa jaio zen. "Kurgan hipotesia" proposatu zuen. Hipotesi horrek arkeologia eta linguistika uztartu zituen, hizkuntza protoindoeuropeoan hitz egiten zuten herrien jatorria kokatzeko.
