dia	mes	agno	personaje	texto
1	1	2021	1	January 1,1914. Manuela Garín Pinillos, one of the pioneers of Mexican mathematics, was born. Her mathematical models helped explain the Earth's magnetic field.
2	1	2021	2	January 2, 1839. Louis Daguerre tried to take the first photo of the space. To take it, he used a daguerreotype and a telescope, but he was unsuccessful (the photo was blurred).
3	1	2021	3	January 3, 1871. Henry Bradley patented the first margarine. His recipe was made mainly with cottonseed oil and animal fat.
4	1	2021	4	January 4, 1963. Neuroscientist May-Britt Moser was born. She received a Nobel Prize for her research on brain grid cells.
5	1	2021	5	January 5, 1895. Microbiologist Rebecca Craighill Lancefield was born. She invented a new method to classify bacteria from the Streptococcus group.
6	1	2021	6	January 6, 1838. Samuel Morse and Alfred Vail used the telegraph in public for the first time. This invention became one of the most popular communication systems for decades.
7	1	2021	7	January 7, 1992. The AT&T company introduced the videophone. It was the first video screen phone.
8	1	2021	8	January 8, 1988. The Juan Carlos I Antarctic Base was inaugurated. This Spanish scientific base is managed by the CSIC and is located on Livingston Island in Antarctica.
9	1	2021	9	January 9, 1923. Inventor Juan de la Cierva used the autogyro successfully. This aircraft is a mixture of an airplane and a helicopter.
10	1	2021	10	January 10, 1860. The London Underground was inaugurated. It is the oldest public underground transport system in the world.
11	1	2021	11	January 11, 1907. Immunologist Mary Shaw Shorb was born. Mary developed a technique to analyze vitamin B12. In doing so, she helped in the fight against pernicious anemia.
12	1	2021	12	January 12, 1925. Veterinarian Miguel Cordero del Campillo was born. He was a world authority in the field of parasitology and played a key role in the birth of the University of León.
13	1	2021	13	January 13, 1927. Biologist Sydney Brenner was born. He received a Nobel Prize for his research on the genetic regulation of cell development and death.
14	1	2021	14	January 14, 1973. Elvis Presley performed the first concert broadcast via satellite. It was from the Honolulu International Center and could be seen from 40 countries.
15	1	2021	15	January 15, 1826. Scientific assistant Marie Pasteur was born. She worked as an assistant and collaborator with Louis Pasteur, to whom she was married. Her support was essential in the researcher's discoveries.
16	1	2021	16	January 16, 1932. Zoologist Dian Fossey was born. She was a patient observer of gorillas' behavior and founded the Karisoke Research Center (Rwanda). This center is the best hope for the conservation of mountain gorillas.
17	1	2021	17	January 17, 1897. Physicist Caroline Emilie Bleeker was born. Her best-known studies include the design and manufacture of optical instruments.
18	1	2021	18	January 18, 1969. An astronomy team at the University of Arizona detected the optical signals from a pulsar for the first time.
19	1	2021	19	January 19, 1915. Georges Claude patented the first neon tube. This invention quickly became popular thanks to its use on billboards.
20	1	2021	20	January 20, 1944. The Cogullada Experimental Biology Station (currently known as Aula Dei Experimental Station) was founded. The objective of this CSIC institute is to improve the competitiveness and sustainability of the agricultural sector.
21	1	2021	21	January 21, 1865. Sophia Jex-Blake, known as one of the Edinburgh Seven, was born. She led the campaign to ensure women's access to college education. Later she studied medicine.
22	1	2021	22	January 22, 1909. Pharmacist and biologist Faustino Cordón was born. His research was focused on the field of evolution. In 1979, he created the Foundation for Research on Evolutionary Biology.
23	1	2021	23	January 23, 1921. Archaeologist Marija Gimbutas was born. She proposed the Kurgan hypothesis. This hypothesis combined archeology and linguistics to locate the original settlements of the people who spoke the Proto-Indo-European language.
24	1	2021	24	January 24, 1809. Naturalist Mariano de la Paz Graells was born. He described new species of insects, among which the magnificent Elizabethan butterfly (Graellsia isabelae) stands out.
25	1	2021	25	January 25, 1235. Possible date of birth of Ramón Llul. His writing entitled "The tree of science" is the first scientific treatise on nature in Spain.
26	1	2021	26	January 26, 1941. Biochemist Joan Elaine Argetsinger Steitz was born. She gained international fame for her discoveries about RNA.
27	1	2021	27	January 27, 1876. ​​Electrical engineer Elisha Gray filed a patent application for the musical telegraph. It was one of the first electric musical instruments.
28	1	2021	28	January 28, 2013. The IBM Sequoia supercomputer broke a computational record by modeling an engine for an experimental jet. To do this, it had the help of more than one million processing cores.
29	1	2021	29	January 29, 1947. Biologist and physician Linda Brown Buck was born. She won a Nobel Prize for her discovery of smell receptors and the organization of the olfactory system.
30	1	2021	30	January 30, 1975. Sculptor Ernő Rubik filed a patent application for the magic cube. This invention is known today as the Rubik's cube.
31	1	2021	31	January 31, 1925. Manuel Jalón was born. He filed numerous patents, including such well-known tools as the mop or the disposable hypodermic syringe.
1	2	2021	32	February 1, 1949. The Hale telescope, the largest in the world at that time (200 inches), came into operation.
2	2	2021	33	February 2, 1939. Biotechnologist Mary-Dell Chilton was born. She was one of the founders of modern plant biotechnology.
3	2	2021	34	February 3, 1900. Juana Álvarez-Prida y Vega was born. She was one of the first Spanish chemists. In 1990, she received the first Progressive Women in Science Award.
4	2	2021	35	February 4, 1896. Thaddeus Cahill filed a patent application for the Telharmonium, the first fully electronic and polyphonic musical instrument. The first prototype weighed 200 tons and was 18 meters long.
5	2	2021	36	February 5, 1949. Paleontologist Nieves López Martínez was born. She was internationally recognized as an expert in the evolution of lagomorphs (rabbits, hares, and pikes), and the biotic and environmental events related to the Cretaceous-Tertiary mass extinction.
6	2	2021	37	February 6, 2014. NASA published the first image taken by the Curiosity Rover: the image of the Earth and the Moon in the sky of Mars.
7	2	2021	38	February 7, 1824. William Huggins was born. He revolutionized astronomy by applying methods to determine stars' chemical composition.
8	2	2021	39	February 8, 1825. Henry Bates was born. He discovered that to protect themselves from predators, some harmless butterflies resemble other toxic species (Batesian mimicry).
9	2	2021	40	February 9, 1859. Organ builder Robert Hope-Jones was born. He developed a theatrical organ to accompany silent films. Based on its mechanism, he patented the diaphone, which is the powerful siren that sits next to lighthouses and can guide ships in the fog.
10	2	2021	41	February 10, 1996. In the United States, the IBM Deep Blue supercomputer defeated for the first time Garry Kasparov, the world chess champion.
11	2	2021	42	February 11, 1939. Lise Meitner published the first discovery of uranium nuclear fission when it absorbs an additional neutron
12	2	2021	43	February 12, 1809. Charles Darwin, the famous naturalist who developed the theory of evolution through natural selection, was born.
13	2	2021	44	February 13, 1946. Mathematician Pilar Bayer was born. In 1986, she founded Barcelona's Theory of Numbers Seminar, in which her research activity is framed.
14	2	2021	45	February 14, 2005. A team of CSIC researchers obtained and sequenced DNA from a Neanderthal individual from the El Sidrón site.
15	2	2021	46	February 15, 2001. The sequencing and initial analysis of the human genome was published in Nature (and the next day in Science).
16	2	2021	47	February 16, 2005. The Kyoto Protocol, a global agreement to reduce greenhouse gas emissions, entered into force.
17	2	2021	48	February 17, 1874. Geologist Ida Helen Ogilvie was born. She discovered the properties of lava and the effects of aridity on soil erosion.
18	2	2021	49	February 18, 1913. Nobel laureate and chemist Frederick Soddy introduced the term isotope.
19	2	2021	50	February 19, 1878. Thomas A. Edison patented the phonograph.
20	2	2021	51	February 20, 2016. Researchers from IGME discovered the first fossil of a praying mantis, one of the oldest known in the world. It was found in the amber deposit of San Just, in Utrillas (Teruel), which is about 105 million years old (Cretaceous period).
21	2	2021	52	February 21, 1947. Inventor Edwin Herbert Land showed in public for the first time an instant photo camera, the Polaroid Land Camera.
22	2	2021	53	February 22, 1876. ​​Johns Hopkins University was founded. It was the first university specifically dedicated to medical research in the United States. The foundation was possible by the businessman Johns Hopkins' bequest.
23	2	2021	54	February 23, 1879. Agnes Arber, botanist specialized in the study of monocotyledonous plants, was born.
24	2	2021	55	February 24, 1938. The DuPont Company began manufacturing the first commercially available nylon product: a toothbrush. Until then, they were mainly made of pigs' neck hair.
25	2	2021	56	February 25, 1869. Chemist Phoebus Levene was born. He discovered deoxyribose, one of the main components of DNA.
26	2	2021	57	February 26, 1958. Susan Helms was born, a woman astronaut who broke the record for the longest spacewalk (almost 9 hours).
