dia	mes	agno	personaje	texto
1	1	2021	1	1 de xaneiro de 1914. Naceu Manuela Garín Pinillos, unha das pioneiras da matemática mexicana. Os seus modelos matemáticos axudaron a explicar o campo magnético da Terra.
2	1	2021	2	2 de xaneiro de 1839. Louis Daguerre tentou facer a primeira foto do espazo. Para iso utilizou un daguerrotipo e mais un telescopio, pero non tivo éxito (a foto saíu borrosa).
3	1	2021	3	3 de xaneiro de 1871. Henry Bradley patentou a primeira margarina. A súa receita estaba feita, principalmente, con aceite de algodón e graxa animal.
4	1	2021	4	4 de xaneiro de 1963. Naceu a neurocientífica May-Britt Moser. Recibiu un Premio Nobel pola súa investigación sobre as células de rede situadas no cerebro.
5	1	2021	5	5 de xaneiro de 1895. Naceu a microbióloga Rebecca Craighill Lancefield. Inventou un novo método para clasificar as bacterias do grupo Streptococcus.
6	1	2021	6	6 de xaneiro de 1838. Samuel Morse e Alfred Vail utilizaron o telégrafo en público por primeira vez. Este invento converteuse nun dos sistemas de comunicación máis populares durante décadas.
7	1	2021	7	7 de xaneiro de 1992. A empresa AT&T presentou o videófono. Foi o primeiro teléfono con pantalla de vídeo.
8	1	2021	8	8 de xaneiro de 1988. A Base Antártica Española Xoán Carlos I quedou inaugurada. Esta base científica está xestionada polo CSIC e localízase na illa Livingston da Antártida.
9	1	2021	9	9 de xaneiro de 1923. O inventor Juan de la Cierva utilizou con éxito o autoxiro. Esta aeronave é unha mestura de avión e helicóptero.
10	1	2021	10	10 de xaneiro de 1860. O metro de Londres quedou inaugurado. Este metro é o sistema de transporte público baixo terra máis antigo do mundo.
11	1	2021	11	11 de xaneiro de 1907. Naceu a inmunóloga Mary Shaw Shorb. Mary desenvolveu unha técnica para analizar a vitamina B12. Con isto contribuíu a combater a anemia perniciosa.
12	1	2021	12	12 de xaneiro de 1925. Naceu o veterinario Miguel Cordero del Campillo. Foi unha autoridade mundial no eido da parasitoloxía. Tivo un papel chave no nacemento da Universidade de León.
13	1	2021	13	13 de xaneiro de 1927. Naceu o biólogo Sydney Brenner. Recibiu un Premio Nobel polas súas investigacións sobre a regulación xenética do desenvolvemento e a morte celular.
14	1	2021	14	14 de xaneiro de 1973. Elvis Presley realizou o primeiro concerto transmitido por vía satélite. Fíxose desde o Centro Internacional de Honolulu e púidose ver en 40 países.
15	1	2021	15	15 de xaneiro de 1826. Naceu a asistente científica Marie Pasteur. Traballou como asistente e colaboradora de Louis Pasteur, con quen estaba casada. O seu apoio foi esencial nas descubertas do investigador.
16	1	2021	16	16 de xaneiro de 1932. Naceu a zoóloga Dian Fossey. Foi unha observadora paciente do comportamento dos gorilas e fundou o Centro de Investigación de Karisoke (Ruanda). Este centro é a maior esperanza para a conservación dos gorilas de montaña.
17	1	2021	17	17 de xaneiro de 1897. Naceu a física Caroline Emilie Bleeker. Os seus estudos máis coñecidos inclúen o deseño e a fabricación de instrumentos ópticos.
18	1	2021	18	18 de xaneiro de 1969. Un equipo de astronomía da Universidade de Arizona detectou os sinais ópticos dun púlsar por primeira vez.
19	1	2021	19	19 de xaneiro de 1915. Georges Claude patentou o primeiro tubo de neon. Este invento popularizouse con rapidez grazas ao seu uso en carteis publicitarios.
